Term,Adjusted P-value
GO:2000737,0.009800010635046
GO:0003214,0.009800010635046
GO:0062009,0.009800010635046
GO:0061629,0.0111300814534472
GO:0072001,0.0123952341354991
GO:0030857,0.0125947665652419
GO:0045787,0.0125947665652419
GO:0042475,0.0125947665652419
GO:0072164,0.0139190524723026
GO:0045662,0.0139190524723026
GO:0043066,0.0139190524723026
GO:0009892,0.0139190524723026
GO:2000146,0.0142575751081013
GO:0051241,0.0160673874949196
GO:0042733,0.0169133989992141
GO:0120161,0.0174067488381153
GO:0060317,0.0177923736803546
GO:2000738,0.0177923736803546
GO:0046597,0.0177923736803546
GO:0001938,0.0177923736803546
GO:0035455,0.0177923736803546
GO:0009967,0.0186594042013061
GO:0003181,0.0190067988699243
GO:0001707,0.0190067988699243
GO:0001667,0.0190067988699243
GO:0030856,0.0206320226210786
GO:0008593,0.0206320226210786
GO:0005112,0.021890809312796
GO:0042093,0.0240428211390608
GO:0048592,0.0240428211390608
GO:0044827,0.0240428211390608
GO:0001656,0.0259429413601161
GO:0005912,0.0266402898292925
GO:0043231,0.0266402898292925
GO:0031093,0.0266402898292925
GO:0005911,0.0266402898292925
GO:0015629,0.0266402898292925
GO:0003161,0.0276575043001885
GO:0043086,0.0276575043001885
GO:0008083,0.0291453672370944
GO:0006775,0.0291526203376393
GO:0010594,0.0291526203376393
GO:0060173,0.0291526203376393
GO:0090263,0.0296089840104594
GO:0060071,0.0304076473846883
GO:0009896,0.0304076473846883
GO:0001701,0.0304076473846883
GO:0030336,0.0305456371960513
GO:0048146,0.0321573426729939
GO:0007044,0.0339261832447131
GO:0035456,0.0339261832447131
GO:0030279,0.0357127666158287
GO:0055008,0.0357127666158287
GO:0071560,0.035828475667637
GO:0045732,0.0365780049168317
GO:0009855,0.0366882234354533
GO:0031399,0.0366882234354533
GO:0048844,0.0366882234354533
GO:0051247,0.0381885018275743
GO:0090049,0.0381885018275743
GO:0045595,0.0381885018275743
GO:0060541,0.0381885018275743
GO:0005788,0.0393743618409192
GO:0031091,0.0393743618409192
GO:0033628,0.0394389623709517
GO:0055010,0.0394389623709517
GO:0048704,0.0394389623709517
GO:0043516,0.0415179421617884
GO:0034446,0.0430371187305599
GO:0071559,0.0430371187305599
GO:0045668,0.0430371187305599
GO:0005109,0.0434101381778454
GO:0051093,0.0445554882131767
GO:0060972,0.0445554882131767
GO:0035924,0.0445554882131767
GO:0034774,0.0459778350914557
GO:0030501,0.0488406157054733
GO:0001947,0.0488406157054733
